blunt_phrase,class,clds,day_ind,dewPt,expire_time_gmt,feels_like,gust,heat_index,icon_extd,key,max_temp,min_temp,obs_id,obs_name,precip_hrly,precip_total,pressure,pressure_desc,pressure_tend,primary_swell_direction,primary_swell_height,primary_swell_period,primary_wave_height,primary_wave_period,qualifier,qualifier_svrty,rh,secondary_swell_direction,secondary_swell_height,secondary_swell_period,snow_hrly,temp,terse_phrase,uv_desc,uv_index,valid_time_gmt,vis,water_temp,wc,wdir,wdir_cardinal,wspd,wx_icon,wx_phrase
,observation,CLR,N,5.0,1451642400,20.0,,28.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.26,,,,,,,,,,37.0,,,,,28.0,,Low,0,1451635200,10.0,,20.0,10.0,N,8.0,33.0,Fair
,observation,CLR,N,5.0,1451643600,21.0,,28.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,37.0,,,,,28.0,,Low,0,1451636400,10.0,,21.0,20.0,NNE,7.0,33.0,Fair
,observation,CLR,N,5.0,1451644800,22.0,,28.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,37.0,,,,,28.0,,Low,0,1451637600,10.0,,22.0,20.0,NNE,6.0,33.0,Fair
,observation,CLR,N,5.0,1451646000,30.0,,30.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,34.0,,,,,30.0,,Low,0,1451638800,10.0,,30.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451647200,28.0,,28.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,37.0,,,,,28.0,,Low,0,1451640000,10.0,,28.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451648400,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,40.0,,,,,27.0,,Low,0,1451641200,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451649600,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,40.0,,,,,27.0,,Low,0,1451642400,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451650800,25.0,,25.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,43.0,,,,,25.0,,Low,0,1451643600,10.0,,25.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451652000,25.0,,25.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,43.0,,,,,25.0,,Low,0,1451644800,10.0,,25.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451653200,23.0,,23.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,46.0,,,,,23.0,,Low,0,1451646000,10.0,,23.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451654400,23.0,,23.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,46.0,,,,,23.0,,Low,0,1451647200,10.0,,23.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451655600,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,40.0,,,,,27.0,,Low,0,1451648400,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451656800,25.0,,25.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,43.0,,,,,25.0,,Low,0,1451649600,10.0,,25.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451658000,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,40.0,,,,,27.0,,Low,0,1451650800,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451659200,25.0,,25.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,43.0,,,,,25.0,,Low,0,1451652000,10.0,,25.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451660400,28.0,,28.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,37.0,,,,,28.0,,Low,0,1451653200,10.0,,28.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451661600,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.24,,,,,,,,,,40.0,,,,,27.0,,Low,0,1451654400,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,7.0,1451662800,27.0,,27.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.25,,,,,,,,,,43.0,,,,,27.0,,Low,0,1451655600,10.0,,27.0,,CALM,0.0,33.0,Fair
,observation,CLR,N,5.0,1451664000,23.0,,23.0,3300.0,KMHV,,,KMHV,Mojave,0.0,,27.26,,,,,,,,,,46.0,,,,,23.0,,Low,0,1451656800,10.0,,23.0,,CALM,0.0,33.0,Fair
